"teryt";"nazwa";"razem";"m";"k";"razem_przed";"m_przed";"k_przed";"razem_prod";"m_prod";"k_prod";"razem_po";"m_po";"k_po";"powierzchnia";"typ"
"0617042";"Rybczewice (2)";3251;1599;1652;519;290;229;1814;1010;804;918;299;619;99;" (2)"
"0617052";"Trawniki (2)";8544;4218;4326;1552;802;750;5120;2819;2301;1872;597;1275;84;" (2)"
"0618011";"Tomaszów Lubelski (1)";18291;8656;9635;2857;1475;1382;10480;5542;4938;4954;1639;3315;13;" (1)"
"0618022";"Bełżec (2)";3206;1623;1583;633;339;294;1907;1057;850;666;227;439;33;" (2)"
"0618032";"Jarczów (2)";3225;1595;1630;557;286;271;1867;1036;831;801;273;528;107;" (2)"
"0618042";"Krynice (2)";3064;1511;1553;506;265;241;1749;965;784;809;281;528;74;" (2)"
"0618053";"Lubycza Królewska (3)";5716;2867;2849;968;482;486;3521;1964;1557;1227;421;806;208;" (3)"
"0618063";"Łaszczów (3)";5626;2740;2886;910;462;448;3234;1772;1462;1482;506;976;128;" (3)"
"0618072";"Rachanie (2)";4701;2370;2331;784;425;359;2703;1540;1163;1214;405;809;94;" (2)"
"0618082";"Susiec (2)";7085;3540;3545;1235;602;633;4252;2377;1875;1598;561;1037;191;" (2)"
"0618092";"Tarnawatka (2)";3811;1918;1893;708;364;344;2301;1273;1028;802;281;521;83;" (2)"
"0618102";"Telatyn (2)";3660;1814;1846;574;295;279;2118;1198;920;968;321;647;112;" (2)"
"0618112";"Tomaszów Lubelski (2)";11055;5474;5581;2134;1084;1050;6855;3707;3148;2066;683;1383;171;" (2)"
"0618123";"Tyszowce (3)";5240;2632;2608;889;483;406;3037;1699;1338;1314;450;864;128;" (3)"
"0618132";"Ulhówek (2)";4125;2011;2114;608;286;322;2497;1395;1102;1020;330;690;147;" (2)"
"0619011";"Włodawa (1)";12364;5892;6472;2127;1133;994;6950;3729;3221;3287;1030;2257;18;" (1)"
"0619022";"Hanna (2)";2573;1315;1258;375;200;175;1533;882;651;665;233;432;139;" (2)"
"0619032";"Hańsk (2)";3497;1772;1725;652;336;316;2097;1170;927;748;266;482;176;" (2)"
"0619042";"Stary Brus (2)";1881;929;952;353;164;189;1068;594;474;460;171;289;132;" (2)"
"0619052";"Urszulin (2)";4099;2057;2042;843;458;385;2411;1321;1090;845;278;567;172;" (2)"
"0619062";"Włodawa (2)";5753;2922;2831;1111;574;537;3389;1881;1508;1253;467;786;245;" (2)"
"0619072";"Wola Uhruska (2)";3659;1810;1849;563;297;266;2187;1217;970;909;296;613;154;" (2)"
"0619082";"Wyryki (2)";2343;1202;1141;390;215;175;1391;800;591;562;187;375;220;" (2)"
"0620012";"Adamów (2)";4486;2264;2222;828;423;405;2665;1496;1169;993;345;648;111;" (2)"
"0620022";"Grabowiec (2)";3665;1851;1814;552;275;277;2069;1179;890;1044;397;647;128;" (2)"
"0620032";"Komarów-Osada (2)";4583;2264;2319;800;421;379;2626;1449;1177;1157;394;763;124;" (2)"
"0620043";"Krasnobród (3)";6771;3407;3364;1203;613;590;4079;2247;1832;1489;547;942;127;" (3)"
"0620052";"Łabunie (2)";5979;2923;3056;1091;560;531;3674;1954;1720;1214;409;805;87;" (2)"
"0620062";"Miączyn (2)";5211;2633;2578;882;459;423;3144;1773;1371;1185;401;784;156;" (2)"
"0620072";"Nielisz (2)";5164;2542;2622;854;464;390;3009;1671;1338;1301;407;894;112;" (2)"
"0620082";"Radecznica (2)";5177;2550;2627;726;368;358;2970;1662;1308;1481;520;961;110;" (2)"
"0620092";"Sitno (2)";6577;3293;3284;1288;693;595;3900;2134;1766;1389;466;923;112;" (2)"
"0620102";"Skierbieszów (2)";4797;2399;2398;817;425;392;2782;1557;1225;1198;417;781;139;" (2)"
"0620112";"Stary Zamość (2)";4948;2470;2478;870;462;408;2939;1604;1335;1139;404;735;98;" (2)"
"0620122";"Sułów (2)";4153;1993;2160;638;304;334;2383;1320;1063;1132;369;763;93;" (2)"
"0620133";"Szczebrzeszyn (3)";10748;5221;5527;1748;889;859;6423;3514;2909;2577;818;1759;123;" (3)"
"0620142";"Zamość (2)";23685;11621;12064;4672;2373;2299;14496;7674;6822;4517;1574;2943;196;" (2)"
"0620153";"Zwierzyniec (3)";6237;2999;3238;1015;519;496;3581;1963;1618;1641;517;1124;154;" (3)"
"0661011";"Biała Podlaska (1)";55100;26213;28887;10144;5179;4965;32140;16936;15204;12816;4098;8718;49;" (1)"
"0662011";"Chełm (1)";58805;27412;31393;9209;4733;4476;33648;17687;15961;15948;4992;10956;35;" (1)"
"0663011";"Lublin (1)";332852;153824;179028;56526;29046;27480;194723;98985;95738;81603;25793;55810;148;" (1)"
"0664011";"Zamość (1)";59603;27781;31822;9929;4979;4950;34031;17803;16228;15643;4999;10644;30;" (1)"
"0801011";"Kostrzyn nad Odrą (1)";17885;8794;9091;3439;1848;1591;10779;5750;5029;3667;1196;2471;46;" (1)"
"0801022";"Bogdaniec (2)";7129;3555;3574;1487;775;712;4210;2276;1934;1432;504;928;112;" (2)"
"0801032";"Deszczno (2)";10393;5207;5186;2348;1224;1124;6300;3353;2947;1745;630;1115;168;" (2)"
"0801042";"Kłodawa (2)";9063;4501;4562;2017;1004;1013;5487;2929;2558;1559;568;991;235;" (2)"
"0801052";"Lubiszyn (2)";6984;3523;3461;1437;725;712;4274;2365;1909;1273;433;840;205;" (2)"
"0801062";"Santok (2)";9238;4677;4561;2097;1076;1021;5576;3029;2547;1565;572;993;169;" (2)"
"0801073";"Witnica (3)";12213;6010;6203;2286;1162;1124;7497;4040;3457;2430;808;1622;279;" (3)"
"0802011";"Gubin (1)";15955;7621;8334;2634;1342;1292;9526;5065;4461;3795;1214;2581;21;" (1)"
"0802022";"Bobrowice (2)";3085;1531;1554;558;293;265;1828;995;833;699;243;456;185;" (2)"
"0802032";"Bytnica (2)";2329;1175;1154;432;228;204;1394;763;631;503;184;319;209;" (2)"
"0802042";"Dąbie (2)";4896;2545;2351;943;492;451;3004;1701;1303;949;352;597;171;" (2)"
"0802052";"Gubin (2)";7187;3617;3570;1343;666;677;4502;2473;2029;1342;478;864;379;" (2)"
"0802063";"Krosno Odrzańskie (3)";17268;8387;8881;3087;1602;1485;10042;5396;4646;4139;1389;2750;212;" (3)"
"0802072";"Maszewo (2)";2740;1388;1352;498;267;231;1649;912;737;593;209;384;214;" (2)"
"0803012";"Bledzew (2)";4006;2008;1998;719;361;358;2350;1326;1024;937;321;616;247;" (2)"
"0803023";"Międzyrzecz (3)";24073;11713;12360;4364;2243;2121;14191;7606;6585;5518;1864;3654;315;" (3)"
"0803032";"Przytoczna (2)";5376;2788;2588;1010;544;466;3116;1783;1333;1250;461;789;185;" (2)"
"0803042";"Pszczew (2)";4246;2070;2176;845;418;427;2485;1322;1163;916;330;586;178;" (2)"
"0803053";"Skwierzyna (3)";11700;5660;6040;2081;1033;1048;6837;3655;3182;2782;972;1810;285;" (3)"
"0803063";"Trzciel (3)";6277;3131;3146;1184;605;579;3703;2023;1680;1390;503;887;178;" (3)"
"0804011";"Nowa Sól (1)";36569;17292;19277;5937;3004;2933;20736;11069;9667;9896;3219;6677;22;" (1)"
"0804023";"Bytom Odrzański (3)";5142;2546;2596;987;523;464;3030;1610;1420;1125;413;712;52;" (3)"
"0804032";"Kolsko (2)";3261;1621;1640;641;314;327;1874;1042;832;746;265;481;81;" (2)"
"0804043";"Kożuchów (3)";15411;7522;7889;2917;1449;1468;9074;4907;4167;3420;1166;2254;179;" (3)"
"0804052";"Nowa Sól (2)";7203;3569;3634;1506;775;731;4271;2291;1980;1426;503;923;176;" (2)"
"0804063";"Nowe Miasteczko (3)";5064;2500;2564;964;481;483;3005;1635;1370;1095;384;711;77;" (3)"
"0804073";"Otyń (3)";7006;3585;3421;1439;768;671;4279;2366;1913;1288;451;837;92;" (3)"
"0804082";"Siedlisko (2)";3358;1702;1656;710;391;319;2018;1096;922;630;215;415;92;" (2)"
"0805013";"Cybinka (3)";6305;3164;3141;1159;615;544;3845;2124;1721;1301;425;876;280;" (3)"
"0805022";"Górzyca (2)";4104;2051;2053;816;412;404;2555;1380;1175;733;259;474;144;" (2)"
"0805033";"Ośno Lubuskie (3)";6228;3039;3189;1202;579;623;3818;2072;1746;1208;388;820;198;" (3)"
"0805043";"Rzepin (3)";9440;4634;4806;1871;953;918;5630;3024;2606;1939;657;1282;191;" (3)"
"0805053";"Słubice (3)";20037;9642;10395;3717;1865;1852;12301;6503;5798;4019;1274;2745;186;" (3)"
"0806013";"Dobiegniew (3)";6271;3137;3134;1070;550;520;3680;2047;1633;1521;540;981;351;" (3)"
"0806023";"Drezdenko (3)";16588;8141;8447;3201;1604;1597;9589;5205;4384;3798;1332;2466;400;" (3)"
"0806032";"Stare Kurowo (2)";3938;1990;1948;793;417;376;2316;1255;1061;829;318;511;78;" (2)"
"0806043";"Strzelce Krajeńskie (3)";16439;8028;8411;3070;1574;1496;9604;5175;4429;3765;1279;2486;319;" (3)"
"0806052";"Zwierzyn (2)";4200;2098;2102;826;407;419;2580;1431;1149;794;260;534;100;" (2)"
"0807012";"Krzeszyce (2)";4584;2325;2259;937;475;462;2729;1524;1205;918;326;592;194;" (2)"
"0807023";"Lubniewice (3)";3042;1503;1539;517;265;252;1810;991;819;715;247;468;130;" (3)"
"0807032";"Słońsk (2)";4700;2398;2302;958;513;445;2884;1581;1303;858;304;554;159;" (2)"
"0807043";"Sulęcin (3)";15261;7561;7700;2927;1516;1411;8925;4882;4043;3409;1163;2246;320;" (3)"
"0807053";"Torzym (3)";6415;3195;3220;1274;646;628;3846;2114;1732;1295;435;860;375;" (3)"
"0808012";"Lubrza (2)";3598;1842;1756;739;383;356;2209;1228;981;650;231;419;122;" (2)"
"0808022";"Łagów (2)";4801;2429;2372;792;413;379;2887;1625;1262;1122;391;731;200;" (2)"
"0808032";"Skąpe (2)";5174;2633;2541;951;514;437;3064;1738;1326;1159;381;778;182;" (2)"
"0808042";"Szczaniec (2)";3719;1815;1904;714;359;355;2222;1190;1032;783;266;517;113;" (2)"
"0808053";"Świebodzin (3)";29280;14119;15161;5589;2853;2736;17059;9058;8001;6632;2208;4424;226;" (3)"
"0808063";"Zbąszynek (3)";8101;3977;4124;1640;878;762;4741;2521;2220;1720;578;1142;94;" (3)"
"0809013";"Babimost (3)";6089;3022;3067;1116;607;509;3640;1933;1707;1333;482;851;93;" (3)"
"0809022";"Bojadła (2)";3213;1595;1618;626;326;300;1851;1021;830;736;248;488;102;" (2)"
"0809033";"Czerwieńsk (3)";10028;4993;5035;2009;1038;971;5973;3222;2751;2046;733;1313;195;" (3)"
"0809043";"Kargowa (3)";5897;2883;3014;1153;577;576;3554;1891;1663;1190;415;775;129;" (3)"
"0809053";"Nowogród Bobrzański (3)";9067;4472;4595;1676;826;850;5510;2969;2541;1881;677;1204;260;" (3)"
"0809063";"Sulechów (3)";26026;12674;13352;4815;2464;2351;15385;8257;7128;5826;1953;3873;237;" (3)"
"0809072";"Świdnica (2)";6771;3368;3403;1355;691;664;4057;2189;1868;1359;488;871;160;" (2)"
"0809082";"Trzebiechów (2)";3207;1645;1562;650;335;315;1865;1055;810;692;255;437;81;" (2)"
"0809092";"Zabór (2)";4600;2252;2348;997;502;495;2783;1459;1324;820;291;529;93;" (2)"
"0810011";"Gozdnica (1)";2812;1378;1434;432;243;189;1633;903;730;747;232;515;24;" (1)"
"0810021";"Żagań (1)";24130;11547;12583;3946;2061;1885;13876;7436;6440;6308;2050;4258;40;" (1)"
"0810032";"Brzeźnica (2)";3520;1769;1751;702;381;321;2095;1135;960;723;253;470;122;" (2)"
"0810043";"Iłowa (3)";6500;3182;3318;1114;579;535;3873;2103;1770;1513;500;1013;153;" (3)"
"0810053";"Małomice (3)";5155;2522;2633;975;488;487;3023;1637;1386;1157;397;760;80;" (3)"
"0810062";"Niegosławice (2)";4286;2152;2134;882;456;426;2531;1380;1151;873;316;557;136;" (2)"
"0810073";"Szprotawa (3)";19479;9429;10050;3375;1705;1670;11514;6194;5320;4590;1530;3060;233;" (3)"
"0810082";"Wymiarki (2)";2134;1049;1085;335;166;169;1318;729;589;481;154;327;63;" (2)"
"0810092";"Żagań (2)";7178;3620;3558;1479;769;710;4395;2391;2004;1304;460;844;281;" (2)"
"0811011";"Łęknica (1)";2290;1106;1184;408;205;203;1443;755;688;439;146;293;16;" (1)"
"0811021";"Żary (1)";35673;16853;18820;6095;3096;2999;20549;10846;9703;9029;2911;6118;33;" (1)"
"0811032";"Brody (2)";3226;1587;1639;621;310;311;1942;1047;895;663;230;433;241;" (2)"
"0811043";"Jasień (3)";6783;3382;3401;1207;605;602;4086;2276;1810;1490;501;989;127;" (3)"
"0811052";"Lipinki Łużyckie (2)";3275;1620;1655;692;338;354;1979;1089;890;604;193;411;89;" (2)"
"0811063";"Lubsko (3)";17586;8582;9004;3018;1558;1460;10440;5626;4814;4128;1398;2730;183;" (3)"
"0811072";"Przewóz (2)";3043;1483;1560;558;254;304;1893;1042;851;592;187;405;178;" (2)"
"0811082";"Trzebiel (2)";5543;2784;2759;1034;544;490;3325;1847;1478;1184;393;791;166;" (2)"
"0811092";"Tuplice (2)";2967;1438;1529;516;262;254;1773;949;824;678;227;451;66;" (2)"
"0811102";"Żary (2)";12366;6148;6218;2467;1286;1181;7689;4117;3572;2210;745;1465;294;" (2)"
"0812013";"Sława (3)";12472;6171;6301;2537;1319;1218;7189;3863;3326;2746;989;1757;327;" (3)"
"0812023";"Szlichtyngowa (3)";4840;2418;2422;979;498;481;2931;1594;1337;930;326;604;100;" (3)"
"0812033";"Wschowa (3)";20371;9964;10407;3909;2037;1872;11951;6441;5510;4511;1486;3025;197;" (3)"
"0861011";"Gorzów Wielkopolski (1)";118011;55618;62393;19494;9961;9533;68428;35794;32634;30089;9863;20226;86;" (1)"
"0862011";"Zielona Góra (1)";139667;66050;73617;24914;12714;12200;81140;42119;39021;33613;11217;22396;277;" (1)"
"1001011";"Bełchatów (1)";53718;25940;27778;9757;5017;4740;31298;16635;14663;12663;4288;8375;35;" (1)"
"1001022";"Bełchatów (2)";12575;6306;6269;2728;1394;1334;7570;4088;3482;2277;824;1453;180;" (2)"
"1001032";"Drużbice (2)";5247;2608;2639;1032;536;496;3075;1673;1402;1140;399;741;113;" (2)"
"1001042";"Kleszczów (2)";6151;3026;3125;1627;816;811;3657;1899;1758;867;311;556;125;" (2)"
"1001052";"Kluki (2)";4341;2134;2207;843;413;430;2633;1424;1209;865;297;568;119;" (2)"
"1001062";"Rusiec (2)";4900;2380;2520;899;463;436;2848;1529;1319;1153;388;765;100;" (2)"
"1001072";"Szczerców (2)";8149;3992;4157;1568;768;800;4934;2645;2289;1647;579;1068;129;" (2)"
"1001083";"Zelów (3)";14507;7158;7349;2766;1460;1306;8389;4591;3798;3352;1107;2245;167;" (3)"
"1002011";"Kutno (1)";41754;19460;22294;6418;3310;3108;23230;12326;10904;12106;3824;8282;34;" (1)"
"1002022";"Bedlno (2)";5207;2614;2593;853;429;424;3071;1759;1312;1283;426;857;125;" (2)"
"1002032";"Dąbrowice (2)";1808;862;946;317;163;154;1062;557;505;429;142;287;46;" (2)"
"1002043";"Krośniewice (3)";7922;3804;4118;1367;686;681;4599;2479;2120;1956;639;1317;95;" (3)"
"1002052";"Krzyżanów (2)";4043;2012;2031;715;357;358;2453;1375;1078;875;280;595;103;" (2)"
"1002062";"Kutno (2)";8875;4429;4446;1682;899;783;5441;2931;2510;1752;599;1153;122;" (2)"
"1002072";"Łanięta (2)";2238;1174;1064;410;228;182;1357;777;580;471;169;302;55;" (2)"
"1002082";"Nowe Ostrowy (2)";3261;1598;1663;516;264;252;1989;1101;888;756;233;523;72;" (2)"
"1002092";"Oporów (2)";2418;1191;1227;458;220;238;1414;780;634;546;191;355;68;" (2)"
"1002102";"Strzelce (2)";3785;1864;1921;669;348;321;2250;1215;1035;866;301;565;90;" (2)"
"1002113";"Żychlin (3)";11233;5393;5840;1759;912;847;6390;3484;2906;3084;997;2087;77;" (3)"
"1003012";"Buczek (2)";5067;2506;2561;981;517;464;3022;1638;1384;1064;351;713;92;" (2)"
"1003023";"Łask (3)";27155;13014;14141;4763;2466;2297;15765;8398;7367;6627;2150;4477;145;" (3)"
"1003032";"Sędziejowice (2)";6248;3125;3123;1134;615;519;3679;2028;1651;1435;482;953;120;" (2)"
"1003042";"Widawa (2)";6992;3434;3558;1155;599;556;4077;2258;1819;1760;577;1183;179;" (2)"
"1003052";"Wodzierady (2)";3697;1824;1873;712;355;357;2168;1172;996;817;297;520;82;" (2)"
"1004011";"Łęczyca (1)";13340;6176;7164;2221;1144;1077;7469;3912;3557;3650;1120;2530;9;" (1)"
"1004022";"Daszyna (2)";3687;1813;1874;655;334;321;2089;1164;925;943;315;628;81;" (2)"
"1004032";"Góra Świętej Małgorzaty (2)";4264;2085;2179;771;372;399;2496;1376;1120;997;337;660;90;" (2)"
"1004042";"Grabów (2)";5421;2744;2677;905;473;432;3070;1757;1313;1446;514;932;156;" (2)"
"1004052";"Łęczyca (2)";8291;4112;4179;1481;753;728;4977;2748;2229;1833;611;1222;151;" (2)"
"1004063";"Piątek (3)";5671;2797;2874;1002;546;456;3280;1791;1489;1389;460;929;133;" (3)"
"1004072";"Świnice Warckie (2)";3686;1852;1834;625;324;301;2167;1207;960;894;321;573;93;" (2)"
"1004082";"Witonia (2)";3078;1524;1554;496;251;245;1814;1001;813;768;272;496;60;" (2)"
"1005011";"Łowicz (1)";26582;12414;14168;4440;2260;2180;14974;7872;7102;7168;2282;4886;23;" (1)"
"1005022";"Bielawy (2)";5159;2584;2575;845;443;402;2949;1638;1311;1365;503;862;164;" (2)"
"1005032";"Chąśno (2)";2882;1448;1434;515;250;265;1730;959;771;637;239;398;72;" (2)"
"1005042";"Domaniewice (2)";4535;2237;2298;930;493;437;2611;1406;1205;994;338;656;86;" (2)"
"1005052";"Kiernozia (2)";3167;1572;1595;558;289;269;1804;987;817;805;296;509;76;" (2)"
"1005062";"Kocierzew Południowy (2)";4089;2059;2030;767;391;376;2413;1331;1082;909;337;572;94;" (2)"
"1005072";"Łowicz (2)";7666;3752;3914;1561;781;780;4633;2459;2174;1472;512;960;133;" (2)"
"1005082";"Łyszkowice (2)";6464;3160;3304;1257;623;634;3863;2083;1780;1344;454;890;107;" (2)"
"1005092";"Nieborów (2)";9279;4509;4770;1804;913;891;5395;2889;2506;2080;707;1373;104;" (2)"
"1005102";"Zduny (2)";5286;2601;2685;952;474;478;2944;1640;1304;1390;487;903;129;" (2)"
"1006022";"Andrespol (2)";14539;6915;7624;2807;1373;1434;8403;4433;3970;3329;1109;2220;25;" (2)"
"1006032";"Brójce (2)";7148;3544;3604;1580;839;741;4320;2256;2064;1248;449;799;70;" (2)"
"1006073";"Koluszki (3)";23048;10935;12113;4231;2119;2112;13220;6994;6226;5597;1822;3775;155;" (3)"
"1006082";"Nowosolna (2)";5533;2684;2849;1190;612;578;3303;1710;1593;1040;362;678;54;" (2)"
"1006103";"Rzgów (3)";11086;5348;5738;2357;1180;1177;6496;3401;3095;2233;767;1466;66;" (3)"
"1006113";"Tuszyn (3)";12637;6073;6564;2399;1207;1192;7445;3926;3519;2793;940;1853;130;" (3)"
"1007012";"Białaczów (2)";5592;2814;2778;1069;563;506;3315;1859;1456;1208;392;816;115;" (2)"
"1007023";"Drzewica (3)";9928;4852;5076;1816;888;928;5636;3093;2543;2476;871;1605;118;" (3)"
"1007032";"Mniszków (2)";4708;2410;2298;994;537;457;2736;1508;1228;978;365;613;124;" (2)"
"1007043";"Opoczno (3)";32438;15771;16667;6210;3097;3113;18949;10268;8681;7279;2406;4873;191;" (3)"
"1007052";"Paradyż (2)";4241;2142;2099;912;470;442;2486;1378;1108;843;294;549;81;" (2)"
"1007062";"Poświętne (2)";2956;1492;1464;559;277;282;1656;932;724;741;283;458;141;" (2)"
"1007072";"Sławno (2)";7510;3776;3734;1701;873;828;4367;2390;1977;1442;513;929;129;" (2)"
"1007082";"Żarnów (2)";5587;2827;2760;1028;539;489;3197;1791;1406;1362;497;865;141;" (2)"
"1008011";"Konstantynów Łódzki (1)";19117;8983;10134;3514;1827;1687;10909;5668;5241;4694;1488;3206;27;" (1)"
"1008021";"Pabianice (1)";62238;28766;33472;9458;4827;4631;35322;18517;16805;17458;5422;12036;33;" (1)"
"1008032";"Dłutów (2)";4896;2392;2504;963;480;483;2805;1511;1294;1128;401;727;101;" (2)"
"1008042";"Dobroń (2)";8055;3943;4112;1571;842;729;4810;2525;2285;1674;576;1098;95;" (2)"
"1008052";"Ksawerów (2)";7596;3624;3972;1420;732;688;4349;2276;2073;1827;616;1211;14;" (2)"
"1008062";"Lutomiersk (2)";9292;4596;4696;1881;991;890;5482;2937;2545;1929;668;1261;134;" (2)"
"1008072";"Pabianice (2)";8557;4216;4341;2059;1069;990;5060;2659;2401;1438;488;950;88;" (2)"
"1009013";"Działoszyn (3)";11740;5808;5932;2134;1094;1040;6953;3808;3145;2653;906;1747;121;" (3)"
"1009022";"Kiełczygłów (2)";3824;1905;1919;632;325;307;2261;1274;987;931;306;625;87;" (2)"
"1009032";"Nowa Brzeźnica (2)";4417;2218;2199;735;390;345;2618;1452;1166;1064;376;688;135;" (2)"
"1009043";"Pajęczno (3)";11293;5551;5742;2091;1080;1011;6496;3536;2960;2706;935;1771;114;" (3)"
"1009052";"Rząśnia (2)";4875;2445;2430;989;514;475;2892;1570;1322;994;361;633;86;" (2)"
"1009062";"Siemkowice (2)";4518;2263;2255;855;433;422;2646;1471;1175;1017;359;658;100;" (2)"
"1009072";"Strzelce Wielkie (2)";4256;2116;2140;679;345;334;2571;1404;1167;1006;367;639;78;" (2)"
"1009082";"Sulmierzyce (2)";4426;2180;2246;852;438;414;2507;1363;1144;1067;379;688;83;" (2)"
"1010012";"Aleksandrów (2)";4298;2163;2135;799;424;375;2427;1372;1055;1072;367;705;144;" (2)"
"1010022";"Czarnocin (2)";4096;1992;2104;816;432;384;2366;1238;1128;914;322;592;72;" (2)"
"1010032";"Gorzkowice (2)";8290;4035;4255;1603;786;817;4873;2616;2257;1814;633;1181;102;" (2)"
"1010042";"Grabica (2)";6047;3022;3025;1295;667;628;3538;1943;1595;1214;412;802;128;" (2)"
"1010052";"Łęki Szlacheckie (2)";3237;1631;1606;565;293;272;1904;1077;827;768;261;507;109;" (2)"
"1010062";"Moszczenica (2)";12643;6202;6441;2489;1289;1200;7508;4064;3444;2646;849;1797;111;" (2)"
"1010072";"Ręczno (2)";3381;1682;1699;660;337;323;1881;1039;842;840;306;534;89;" (2)"
"1010082";"Rozprza (2)";12235;5964;6271;2549;1292;1257;7177;3836;3341;2509;836;1673;163;" (2)"
"1010093";"Sulejów (3)";16571;8190;8381;3279;1682;1597;9834;5335;4499;3458;1173;2285;188;" (3)"
"1010102";"Wola Krzysztoporska (2)";11930;5883;6047;2491;1264;1227;7059;3800;3259;2380;819;1561;171;" (2)"
"1010113";"Wolbórz (3)";7843;3882;3961;1644;833;811;4426;2419;2007;1773;630;1143;152;" (3)"
"1011012";"Dalików (2)";3980;2001;1979;799;405;394;2303;1263;1040;878;333;545;115;" (2)"
"1011022";"Pęczniew (2)";3400;1712;1688;612;326;286;1977;1098;879;811;288;523;128;" (2)"
"1011033";"Poddębice (3)";14742;7163;7579;2547;1349;1198;8627;4628;3999;3568;1186;2382;225;" (3)"
"1011043";"Uniejów (3)";6765;3287;3478;1123;573;550;3899;2133;1766;1743;581;1162;129;" (3)"
"1011052";"Wartkowice (2)";6094;3050;3044;1151;588;563;3562;1987;1575;1381;475;906;140;" (2)"
"1011062";"Zadzim (2)";4765;2413;2352;868;462;406;2681;1510;1171;1216;441;775;144;" (2)"
"1012011";"Radomsko (1)";43958;20836;23122;6941;3554;3387;25293;13474;11819;11724;3808;7916;51;" (1)"
"1012022";"Dobryszyce (2)";4581;2334;2247;953;524;429;2788;1513;1275;840;297;543;51;" (2)"
"1012032";"Gidle (2)";5800;2928;2872;936;517;419;3396;1898;1498;1468;513;955;116;" (2)"
"1012042";"Gomunice (2)";5684;2777;2907;1050;528;522;3348;1809;1539;1286;440;846;62;" (2)"
"1012053";"Kamieńsk (3)";5679;2825;2854;1058;563;495;3377;1831;1546;1244;431;813;96;" (3)"
"1012062";"Kobiele Wielkie (2)";4283;2119;2164;819;413;406;2540;1399;1141;924;307;617;102;" (2)"
"1012072";"Kodrąb (2)";4359;2178;2181;791;420;371;2570;1397;1173;998;361;637;106;" (2)"
"1012082";"Lgota Wielka (2)";4229;2119;2110;789;408;381;2570;1418;1152;870;293;577;63;" (2)"
"1012092";"Ładzice (2)";4690;2438;2252;882;470;412;2777;1575;1202;1031;393;638;83;" (2)"
"1012102";"Masłowice (2)";3956;1951;2005;768;396;372;2190;1188;1002;998;367;631;116;" (2)"
"1012113";"Przedbórz (3)";6709;3341;3368;1159;593;566;3921;2181;1740;1629;567;1062;190;" (3)"
"1012122";"Radomsko (2)";5452;2693;2759;1025;521;504;3278;1773;1505;1149;399;750;86;" (2)"
"1012132";"Wielgomłyny (2)";4386;2244;2142;792;419;373;2609;1469;1140;985;356;629;123;" (2)"
"1012142";"Żytno (2)";4849;2445;2404;739;371;368;2733;1545;1188;1377;529;848;198;" (2)"
"1013011";"Rawa Mazowiecka (1)";16249;7762;8487;2978;1575;1403;9014;4798;4216;4257;1389;2868;14;" (1)"
"1013023";"Biała Rawska (3)";10997;5448;5549;2107;1072;1035;6424;3510;2914;2466;866;1600;208;" (3)"
"1013032";"Cielądz (2)";3932;1996;1936;797;443;354;2305;1263;1042;830;290;540;93;" (2)"
"1013042";"Rawa Mazowiecka (2)";8650;4306;4344;1737;884;853;5183;2820;2363;1730;602;1128;164;" (2)"
"1013052";"Regnów (2)";1719;877;842;319;172;147;1049;580;469;351;125;226;46;" (2)"
"1013062";"Sadkowice (2)";5202;2638;2564;1002;518;484;2979;1660;1319;1221;460;761;121;" (2)"
"1014011";"Sieradz (1)";39641;18652;20989;6532;3346;3186;22890;12038;10852;10219;3268;6951;51;" (1)"
"1014023";"Błaszki (3)";14120;7044;7076;2674;1388;1286;8361;4586;3775;3085;1070;2015;201;" (3)"
"1014032";"Brąszewice (2)";4362;2205;2157;937;493;444;2646;1442;1204;779;270;509;107;" (2)"
"1014042";"Brzeźnio (2)";6169;3088;3081;1193;621;572;3660;2015;1645;1316;452;864;129;" (2)"
"1014052";"Burzenin (2)";5304;2680;2624;984;517;467;3108;1737;1371;1212;426;786;120;" (2)"
"1014062";"Goszczanów (2)";5182;2595;2587;994;518;476;3035;1681;1354;1153;396;757;122;" (2)"
"1014072";"Klonowa (2)";2783;1395;1388;560;283;277;1619;893;726;604;219;385;95;" (2)"
"1014082";"Sieradz (2)";10750;5420;5330;2166;1125;1041;6478;3544;2934;2106;751;1355;182;" (2)"
"1014093";"Warta (3)";12015;5862;6153;2175;1122;1053;6934;3709;3225;2906;1031;1875;254;" (3)"
"1014102";"Wróblew (2)";5953;2956;2997;1103;565;538;3465;1885;1580;1385;506;879;113;" (2)"
"1014113";"Złoczew (3)";6916;3362;3554;1335;671;664;4082;2163;1919;1499;528;971;117;" (3)"
"1015012";"Bolimów (2)";3909;1920;1989;761;390;371;2237;1221;1016;911;309;602;112;" (2)"
"1015022";"Głuchów (2)";5561;2737;2824;1099;538;561;3208;1751;1457;1254;448;806;111;" (2)"
"1015032";"Godzianów (2)";2587;1325;1262;535;277;258;1500;841;659;552;207;345;44;" (2)"
"1015042";"Kowiesy (2)";2827;1418;1409;543;284;259;1616;882;734;668;252;416;86;" (2)"
"1015052";"Lipce Reymontowskie (2)";3148;1552;1596;598;322;276;1807;976;831;743;254;489;43;" (2)"
"1015062";"Maków (2)";5987;2952;3035;1224;632;592;3525;1917;1608;1238;403;835;81;" (2)"
